Date,Actual,Forecasted
2011-05-17 00:00:00,264.23956298828125,273.3411833327697
2011-05-18 00:00:00,263.915771484375,272.9045371412747
2011-05-19 00:00:00,264.6330871582031,272.8383803291671
2011-05-20 00:00:00,261.03656005859375,272.33180453442446
2011-05-23 00:00:00,258.22711181640625,271.2639284554239
2011-05-24 00:00:00,258.162353515625,271.35219889080406
2011-05-25 00:00:00,258.8647155761719,271.14855471985953
2011-05-26 00:00:00,258.09759521484375,271.30161213203627
2011-05-27 00:00:00,259.4774169921875,270.99740625873125
2011-05-31 00:00:00,263.5222473144531,270.49295722321045
2011-06-01 00:00:00,261.8186340332031,270.30016155671893
2011-06-02 00:00:00,263.0440368652344,270.4136970396889
2011-06-03 00:00:00,260.5633544921875,270.02154294639985
2011-06-06 00:00:00,259.55712890625,268.8234375837657
2011-06-07 00:00:00,258.5458984375,268.7011694357705
2011-06-08 00:00:00,258.6156311035156,268.2107705137861
2011-06-09 00:00:00,257.40020751953125,267.9991724771931
2011-06-10 00:00:00,253.80368041992188,267.26946718726134
2011-06-13 00:00:00,251.422607421875,265.04893644431627
2011-06-14 00:00:00,253.23580932617188,264.6084277841026
2011-06-15 00:00:00,250.5359344482422,263.8332376378506
2011-06-16 00:00:00,249.25074768066406,263.36837018553985
2011-06-17 00:00:00,241.60440063476562,262.4379512009228
2011-06-20 00:00:00,241.38522338867188,259.9372739646134
2011-06-21 00:00:00,245.5795135498047,259.5177491834358
2011-06-22 00:00:00,242.59568786621094,258.8333653854486
2011-06-23 00:00:00,239.21336364746094,258.51684491534843
2011-06-24 00:00:00,236.5533447265625,257.8052628920219
2011-06-27 00:00:00,240.49855041503906,256.2921812539069
2011-06-28 00:00:00,245.90328979492188,256.64341982525843
2011-06-29 00:00:00,247.85597229003906,256.7704564977763
2011-06-30 00:00:00,252.24452209472656,257.29299344308885
2011-07-01 00:00:00,259.54217529296875,257.4447120945464
2011-07-05 00:00:00,265.2258605957031,259.43895356032243
2011-07-06 00:00:00,266.680419921875,260.06606995078056
2011-07-07 00:00:00,272.2794189453125,261.0684282346166
2011-07-08 00:00:00,265.001708984375,261.6620945643768
2011-07-11 00:00:00,262.655517578125,263.86732978413744
2011-07-12 00:00:00,266.0079345703125,265.0113069968793
2011-07-13 00:00:00,268.125,265.8517754292847
2011-07-14 00:00:00,263.4823913574219,267.02069205495513
2011-07-15 00:00:00,297.6941833496094,267.7160981497271
2011-07-18 00:00:00,296.3591613769531,269.91444013449825
2011-07-19 00:00:00,300.14996337890625,270.96627815896767
2011-07-20 00:00:00,296.56341552734375,271.6638376907203
2011-07-21 00:00:00,302.3616638183594,272.657222236061
2011-07-22 00:00:00,307.960693359375,273.1319602766002
